#,Video Title,Size (MB),Drive Link,Transcript Downloaded?,Transcript Filename,Notes
33,How To Set Up a Webinar Replay Page In Showit _ Digital Course Academy.mp4,17.0,https://drive.google.com/file/d/1RDQJlGyyFL8IYVHvYJLYszxl-Xzsk9sT/view?usp=drivesdk,,,
34,How To Livestream an Additional Webinar Using Zoom To a Facebook Page or Group _ Digital Course Academy.mp4,33.5,https://drive.google.com/file/d/1hU27ec4mfgqYPgX3vfhO6R4rreSHtzRO/view?usp=drivesdk,,,
35,How To Conduct a Live Webinar Using Demio _ Digital Course Academy.mp4,48.9,https://drive.google.com/file/d/1VAIIfhNVK82eeY9_6GTjhWjaA50_ruvf/view?usp=drivesdk,,,
36,"How to Integrate Your Sales Page, Payment Processor, and ESP _ Digital Course Academy.mp4",51.6,https://drive.google.com/file/d/1C1o3Cu2EgUoNdYKSlPZRI1Dd8DuvvLxQ/view?usp=drivesdk,,,
37,Your Winning Evergreen Ad Strategy with Salome _ Digital Course Academy.mp4,187.0,https://drive.google.com/file/d/1Its7ndsjCYF8TOh5aOK22nKl0D3yp49Q/view?usp=drivesdk,,,
38,Bonus Step_ How to Create a Downsell and a Downsell Email _ Digital Course Academy.mp4,21.3,https://drive.google.com/file/d/1Zej9iJyzx9o_GN2YpgIhjotECXwgWUBm/view?usp=drivesdk,,,
39,Step 11_ Kit Automations for Email Sequences to Run on Autopilot _ Digital Course Academy.mp4,16.3,https://drive.google.com/file/d/14PvCz7t5Ysfdye0lhxxBXNQed8QnszPG/view?usp=drivesdk,,,
40,Step 10_ Kit Email Sequences _ Digital Course Academy.mp4,22.0,https://drive.google.com/file/d/1iHFivsole2y09_qYRES5kOteEUAbn1Ds/view?usp=drivesdk,,,
41,Step 9_ Funnel Testing _ Digital Course Academy.mp4,28.7,https://drive.google.com/file/d/1puzTkzpfK8DzQxbV5T-v4YFcJfpG3vb9/view?usp=drivesdk,,,
42,Step 7_ Final Kajabi Setup _ Digital Course Academy.mp4,41.9,https://drive.google.com/file/d/1ehReH6ebpEZNOk0HZkTU-m--fogxUKE8/view?usp=drivesdk,,,
43,Step 8_ Final Demio Setup.mp4,21.4,https://drive.google.com/file/d/1npH3CuP11XAX28phaTiUYZ5E94NoGPKg/view?usp=drivesdk,,,
44,Step 5_ Initial Deadline Funnel Setup _ Digital Course Academy.mp4,47.5,https://drive.google.com/file/d/1WnHhEbMSqe-8tLl6iewXWAEzBnxBdXNJ/view?usp=drivesdk,,,
45,Step 6_ Final Deadline Funnel Setup _ Digital Course Academy.mp4,30.3,https://drive.google.com/file/d/1j-_H7fBB8Qe-8YD3a6GC7G8RsPUYcDIi/view?usp=drivesdk,,,
46,Step 4_ Connecting Kajabi and Kit with Zapier _ Digital Course Academy.mp4,39.5,https://drive.google.com/file/d/1x6Pq9Gs8ZygPxFuptIZ07mYRSE7Z9EKR/view?usp=drivesdk,,,
47,Step 3_ Initial Kajabi Setup _ Digital Course Academy.mp4,28.4,https://drive.google.com/file/d/11aYuszVZKI45NY5Tj_B1C8pTttDZWYKI/view?usp=drivesdk,,,
48,Step 2_ Initial Demio Set Up _ Digital Course Academy.mp4,33.0,https://drive.google.com/file/d/1ZbH3d5g_-gE4yqssstukLIx8j7udO2v3/view?usp=drivesdk,,,
49,Step 1_ Initial Kit Setup _ Digital Course Academy.mp4,22.5,https://drive.google.com/file/d/11Ab_URjBKp7aV0uAkKfLId9vwyEipH-2/view?usp=drivesdk,,,
50,1 How to Turn a Live Launch Into a Profit-Generating Evergreen Funnel _ Digital Course Academy.mp4,155.3,https://drive.google.com/file/d/1LOF7yXA8Ma_GTAM1nhl8pNXrOF21Iajt/view?usp=drivesdk,,,
51,Welcome! (watch me first) _ Digital Course Academy.mp4,111.7,https://drive.google.com/file/d/1lSrA-_LYfjN0fS0HXGzpK7-x1KWhZPqT/view?usp=drivesdk,,,
52,2 The Evergreen Funnel Tech Overview with Dave _ Digital Course Academy.mp4,21.5,https://drive.google.com/file/d/1LCcWXLstOFPAchSAGxoHGWXoH577s4iI/view?usp=drivesdk,,,
53,11_11_ DCA Tech Q&A with Dave _ Digital Course Academy.mp4,1059.7,https://drive.google.com/file/d/1NGRzi82J0I3BQR2_6raGf9UDWeAjv4rf/view?usp=drivesdk,,,
54,11_5_ Course Platform Live Training with Membership.io _ Digital Course Academy.mp4,939.7,https://drive.google.com/file/d/14FQCV6hzWmJPj7Q7bOxy4039JFfE4hTi/view?usp=drivesdk,,,
55,11_18_ DCA Graduation with Amy _ Digital Course Academy.mp4,264.0,https://drive.google.com/file/d/1zOz7gZ89WLPCXMeRKfuoiasPKRkzcuwU/view?usp=drivesdk,,,
56,11_17_ Workshop & Webinar Topic Test Drive with Jill _ Digital Course Academy.mp4,141.5,https://drive.google.com/file/d/1dnqjbOtXGc3Q2EUlgTXa7NTc66Bf-_Ub/view?usp=drivesdk,,,
57,11_4_ DCA Q&A with Amy _ Digital Course Academy.mp4,432.1,https://drive.google.com/file/d/1FYeXf59hBJ8G-6FW2YiIf18kDyZG-h2c/view?usp=drivesdk,,,
58,10_14_ DCA Tech Q&A with Dave _ Digital Course Academy.mp4,911.7,https://drive.google.com/file/d/1oU_udh9Sypamiz5yHXrNbVQIxrDvCCe4/view?usp=drivesdk,,,
59,10_28_ DCA Tech Q&A with Dave _ Digital Course Academy.mp4,602.4,https://drive.google.com/file/d/1iqRb49nYL4xTqJRU-YGKkM0-1WALRmqG/view?usp=drivesdk,,,
60,10_20_ DCA Q&A with Amy _ Digital Course Academy.mp4,346.2,https://drive.google.com/file/d/1jSkQeeI49dRGzETKYZydiZbDdxF6KcEH/view?usp=drivesdk,,,
61,10_13_ Lead Magnet Topic Test Drive with Jill _ Digital Course Academy.mp4,293.6,https://drive.google.com/file/d/1Qtwwbu7HO2h552UyhCvlmm4UuzHyHK0g/view?usp=drivesdk,,,
62,9_30_ DCA Q&A with Amy _ Digital Course Academy.mp4,502.1,https://drive.google.com/file/d/1OhcoRiL4hlRVRp7xSveeHUeLJHWzltcM/view?usp=drivesdk,,,
63,10_7_ DCA Q&A with Amy _ Digital Course Academy.mp4,398.4,https://drive.google.com/file/d/1ak-wl_Moqd9dW0P-ZMLEDpVsY8y9YiHp/view?usp=drivesdk,,,
64,Introduction Lesson _ Digital Course Academy.mp4,127.3,https://drive.google.com/file/d/1cWyBozqHkHJb_FLBKkZKIQyQuNoiotpa/view?usp=drivesdk,,,
65,Lesson 2_ The Coaching Calls Campaign _ Digital Course Academy.mp4,47.1,https://drive.google.com/file/d/11uT6rBmMQ2zcKP2LyU3TBIQ0lsinZ07h/view?usp=drivesdk,,,
66,Lesson 1_ The Livestream Launch _ Digital Course Academy.mp4,38.9,https://drive.google.com/file/d/1gp_7oZuKRczPAJ79iZC-g_yGS7zmIEfF/view?usp=drivesdk,,,
67,Lesson 3_ The Simple 5-Day Challenge _ Digital Course Academy.mp4,64.5,https://drive.google.com/file/d/1cEMDhlMa5ysxHO1ecYQzg8CTl4f4eiuF/view?usp=drivesdk,,,
68,Workshop in a Weekend Day 1 Replay _ Digital Course Academy.mp4,960.3,https://drive.google.com/file/d/1fG7A3r8rYgFpoAucWzLDsvVaRoRBnt_h/view?usp=drivesdk,,,
69,Workshop in a Weekend Day 2 Replay _ Digital Course Academy.mp4,900.0,https://drive.google.com/file/d/1t6yythrWVxuWjvgqxkdxdBMnfBa5t8Mu/view?usp=drivesdk,,,
70,Decision #7_ Scheduling Your Launch Dates _ Digital Course Academy.mp4,144.3,https://drive.google.com/file/d/1eIgqM9adaFw4vk_PHfltSH91Yb-xJ4wb/view?usp=drivesdk,,,
71,Module 1 Grow As You Go Bonus_ Pre-Launch Runway _ Digital Course Academy.mp4,69.5,https://drive.google.com/file/d/1FarNNaVbaibBgLrkCYMmP_AJif-ttfBV/view?usp=drivesdk,,,
72,Decision #5_ Pricing Your Course _ Digital Course Academy.mp4,71.9,https://drive.google.com/file/d/1zs0JWJFFjQ_HLUTL0Hh29CgBVQq7Jn3G/view?usp=drivesdk,,,
73,Decision #6_ Selecting Your Tech Stack _ Digital Course Academy.mp4,96.2,https://drive.google.com/file/d/17BqYPyuX8Lb-NHkWlPNu6Zywg4HEl28l/view?usp=drivesdk,,,
74,Decision #3_ Declaring Your Course Transformation Statement _ Digital Course Academy.mp4,85.6,https://drive.google.com/file/d/1U5m56gHsYZgS55S2kPBWJPDUsex2QT-y/view?usp=drivesdk,,,
75,Decision #2_ Defining Your Ideal Customer Avatar _ Digital Course Academy.mp4,150.8,https://drive.google.com/file/d/1VASZf9zHRH-5AS1qlZvDIOFnOiA3RIN7/view?usp=drivesdk,,,
76,Decision #4_ Crafting a Stellar Course Name _ Digital Course Academy.mp4,81.1,https://drive.google.com/file/d/1sNeKDTBH4xbdauZF4-S1CJ180lVYuhCE/view?usp=drivesdk,,,
77,Snapshot _ Digital Course Academy.mp4,89.1,https://drive.google.com/file/d/1HHGGTfvAvVXCnxM6FjTjbg1XDoIpQY-2/view?usp=drivesdk,,,
78,Decision #1_ Choosing Your Course Topic _ Digital Course Academy.mp4,54.9,https://drive.google.com/file/d/1VlpTSswyD7di3wx5-DGT9r71IGMNAbiH/view?usp=drivesdk,,,
79,Module 2 Grow As You Go Bonus_ The Instagram Poll Strategy _ Digital Course Academy.mp4,92.6,https://drive.google.com/file/d/1UYWWfFW4dyMe8LZ6jSpn8RuZikpjOl3Q/view?usp=drivesdk,,,
80,3 The First 10 Strategy _ Digital Course Academy.mp4,132.4,https://drive.google.com/file/d/1pP18Ff9U-XlgBGfwkdPVh8ezrNLKSnOA/view?usp=drivesdk,,,
81,1 The Course Calls Strategy _ Digital Course Academy.mp4,153.1,https://drive.google.com/file/d/1AsgKv_C_veL_FTAR9mH6gNIdDuahqjQH/view?usp=drivesdk,,,
82,2 Social Validation Strategies _ Digital Course Academy.mp4,58.1,https://drive.google.com/file/d/1FOzWQolKlJISg-c3JrxjRad59jt1FcTw/view?usp=drivesdk,,,
83,Snapshot _ Digital Course Academy.mp4,89.6,https://drive.google.com/file/d/1U9__H4KoSbG4QylmyqjEUW7WDleIewBg/view?usp=drivesdk,,,
84,Module 4 Grow As You Go Bonus_ Go Live Challenge _ Digital Course Academy.mp4,54.0,https://drive.google.com/file/d/1j1YV0w_TM-BCiFeIJOSVAipMGJoLC6HZ/view?usp=drivesdk,,,
85,1 How to Deliver Your Course _ Digital Course Academy.mp4,148.4,https://drive.google.com/file/d/1i9EtjLLpxDLTNQIjQ7Zy3nY-Da54jjE7/view?usp=drivesdk,,,
